Product_ID,Product_Name,Actual_Market_Price,Listed_Price,Rating,Reviews_Count,Seller_Score
P0044,Vivo X300 Pro,65000,63487,4.7,2932,98
P0045,Realme GT 8 Pro,55000,53083,4.7,2502,99
P0046,Xiaomi 15,60000,60079,4.3,4617,85
P0047,Motorola Edge 60 Ultra,58000,56120,4.4,7771,96
P0048,Nothing Phone 3,50000,49824,4.3,5098,94
P0049,Motorola Edge 60 Ultra,58000,58508,4.4,6210,99
P0050,Xiaomi 15,60000,57799,4.2,1663,91
P0051,Oppo Find X9 Pro,75000,73955,4.5,5352,93
P0052,Google Pixel 10,85000,84629,4.7,3309,94
P0053,iPhone 15 Pro,120000,120126,4.6,3865,96
P0054,Motorola Edge 60 Ultra,58000,55737,4.3,4666,88
P0055,Samsung S25 Ultra,110000,107935,4.2,4908,90
P0056,Vivo X300 Pro,65000,16675,4.7,10,26
P0057,iPhone 15 Pro,120000,116559,4.6,5851,98
P0058,OnePlus 13,70000,69114,4.3,5823,86
P0059,Samsung S25 Ultra,110000,110064,4.5,8114,88
P0060,Realme GT 8 Pro,55000,53077,4.5,4714,91
P0061,Oppo Find X9 Pro,75000,74334,4.4,6858,91
P0062,Realme GT 8 Pro,55000,54820,4.2,3233,88
P0063,iPhone 15 Pro,120000,116905,4.2,1711,85
P0064,Vivo X300 Pro,65000,64640,4.1,3519,96
P0065,Vivo X300 Pro,65000,63161,4.3,3814,95
P0066,Nothing Phone 3,50000,48106,4.6,7939,87
P0067,Oppo Find X9 Pro,75000,72909,4.5,5060,91
P0068,Realme GT 8 Pro,55000,53115,4.8,5570,98
P0069,iPhone 15 Pro,120000,119096,4.6,8976,86
P0070,Google Pixel 10,85000,84490,4.5,1642,92
P0071,Realme GT 8 Pro,55000,54285,4.2,1886,86
P0072,Realme GT 8 Pro,55000,53188,4.5,4161,96
P0073,Samsung S25 Ultra,110000,107287,4.8,2972,91
P0074,Google Pixel 10,85000,82751,4.7,1543,87
P0075,Samsung S25 Ultra,110000,106404,4.2,5248,91
P0076,OnePlus 13,70000,67444,4.1,2437,92
P0077,Samsung S25 Ultra,110000,105937,4.4,8152,98
P0078,OnePlus 13,70000,68163,4.6,4297,95
P0079,Google Pixel 10,85000,21562,4.6,25,31
P0080,OnePlus 13,70000,67437,4.5,2403,99
P0081,OnePlus 13,70000,67712,4.5,1506,97
P0082,Motorola Edge 60 Ultra,58000,58304,4.7,8488,93
P0083,Xiaomi 15,60000,59874,4.4,6628,87
P0084,Vivo X300 Pro,65000,64868,4.3,4067,96
P0085,iPhone 15 Pro,120000,119348,4.6,6796,89
P0086,Samsung S25 Ultra,110000,107104,4.5,5143,98
P0087,Samsung S25 Ultra,110000,109974,4.2,6701,95
P0088,Samsung S25 Ultra,110000,108534,4.4,5439,89
P0089,Realme GT 8 Pro,55000,53469,4.4,3632,96
P0090,iPhone 15 Pro,120000,120323,4.6,7890,88
P0091,Nothing Phone 3,50000,48558,4.8,6453,86
P0092,Xiaomi 15,60000,57901,4.4,8992,89
P0093,Nothing Phone 3,50000,49682,4.2,3629,93
P0094,Realme GT 8 Pro,55000,55528,4.5,4201,89
P0095,Xiaomi 15,60000,58562,4.1,8371,86
P0096,Motorola Edge 60 Ultra,58000,57486,4.7,8197,99
P0097,Nothing Phone 3,50000,48738,4.7,2583,91
P0098,iPhone 15 Pro,120000,117165,4.7,8116,91
P0099,Google Pixel 10,85000,82286,4.2,3684,91
P0100,Google Pixel 10,85000,84795,4.7,2031,98
P0101,iPhone 15 Pro,120000,119860,4.4,6156,85
P0102,Realme GT 8 Pro,55000,54071,4.3,5984,97
P0103,Nothing Phone 3,50000,48595,4.3,8710,88
P0104,Vivo X300 Pro,65000,62584,4.4,8595,97
P0105,Google Pixel 10,85000,81987,4.5,8852,98
P0106,Samsung S25 Ultra,110000,107155,4.4,7384,98
P0107,Vivo X300 Pro,65000,63895,4.2,8307,98
P0108,OnePlus 13,70000,18900,5.0,19,42
P0109,iPhone 15 Pro,120000,115491,4.2,6774,93
P0110,Samsung S25 Ultra,110000,106015,4.7,8030,96
P0111,Oppo Find X9 Pro,75000,73367,4.6,6766,95
P0112,Vivo X300 Pro,65000,65095,4.6,2215,85
P0113,OnePlus 13,70000,70488,4.6,7906,96
P0114,Motorola Edge 60 Ultra,58000,57769,4.4,3656,89
P0115,Vivo X300 Pro,65000,64585,4.5,6913,99
P0116,Realme GT 8 Pro,55000,13827,4.9,38,42
P0117,Google Pixel 10,85000,82428,4.4,6867,88
P0118,Realme GT 8 Pro,55000,54322,4.3,7667,92
P0119,Nothing Phone 3,50000,49164,4.7,7755,94
P0120,Motorola Edge 60 Ultra,58000,57067,4.2,1825,90
P0121,iPhone 15 Pro,120000,119220,4.7,7679,91
P0122,Google Pixel 10,85000,82196,4.3,4643,87
P0123,Realme GT 8 Pro,55000,53207,4.6,5498,99
P0124,Realme GT 8 Pro,55000,55368,4.7,5575,90
P0125,Nothing Phone 3,50000,49704,4.6,8856,97
P0126,Xiaomi 15,60000,59569,4.2,2336,96
P0127,iPhone 15 Pro,120000,121025,4.6,4522,99
P0128,iPhone 15 Pro,120000,120516,4.2,7118,91
P0129,Google Pixel 10,85000,83640,4.5,6857,87
P0130,Oppo Find X9 Pro,75000,72021,4.4,3766,90
P0131,Realme GT 8 Pro,55000,53720,4.1,7615,98
P0132,Oppo Find X9 Pro,75000,72193,4.5,8584,91
P0133,Samsung S25 Ultra,110000,109232,4.4,2414,85
P0134,Nothing Phone 3,50000,48976,4.8,5991,96
P0135,Realme GT 8 Pro,55000,55210,4.6,6952,88
P0136,iPhone 15 Pro,120000,120552,4.4,8182,95
P0137,Oppo Find X9 Pro,75000,75432,4.1,6816,99
P0138,Google Pixel 10,85000,84520,4.5,7022,86
P0139,Nothing Phone 3,50000,48192,4.2,2552,93
P0140,iPhone 15 Pro,120000,119422,4.4,7269,92
P0141,Samsung S25 Ultra,110000,107102,4.3,4195,96
P0142,Vivo X300 Pro,65000,62879,4.4,4441,93
P0143,Vivo X300 Pro,65000,63453,4.2,2491,90
P0144,Google Pixel 10,85000,82135,4.4,6786,95
P0145,Oppo Find X9 Pro,75000,73789,4.8,7354,85
P0146,Vivo X300 Pro,65000,26051,5.0,25,32
P0147,Nothing Phone 3,50000,48258,4.3,3019,86
P0148,iPhone 15 Pro,120000,119296,4.3,8260,88
P0149,Xiaomi 15,60000,58775,4.2,6455,92
P0150,Nothing Phone 3,50000,48141,4.5,8367,87
P0151,OnePlus 13,70000,70068,4.4,3315,98
P0152,Xiaomi 15,60000,58266,4.2,5451,97
P0153,Nothing Phone 3,50000,49830,4.4,8954,89
P0154,Vivo X300 Pro,65000,63601,4.2,4724,98
P0155,Oppo Find X9 Pro,75000,75712,4.7,8416,90
P0156,Vivo X300 Pro,65000,64909,4.5,3409,97
P0157,iPhone 15 Pro,120000,118609,4.7,5138,95
P0158,Motorola Edge 60 Ultra,58000,56642,4.6,2933,99
P0159,Realme GT 8 Pro,55000,54509,4.7,2179,94
P0160,Vivo X300 Pro,65000,63908,4.4,6682,99
P0161,Google Pixel 10,85000,84420,4.6,2551,87
P0162,Xiaomi 15,60000,58256,4.4,6553,88
P0163,Motorola Edge 60 Ultra,58000,56895,4.2,6366,85
P0164,Xiaomi 15,60000,58385,4.5,1710,87
P0165,Google Pixel 10,85000,82921,4.3,2323,88
P0166,iPhone 15 Pro,120000,115884,4.2,5283,91
P0167,Google Pixel 10,85000,39477,4.8,38,41
P0168,OnePlus 13,70000,68897,4.7,3445,95
P0169,Xiaomi 15,60000,58123,4.5,7544,91
P0170,iPhone 15 Pro,120000,117747,4.4,7443,94
P0171,Google Pixel 10,85000,82777,4.2,3952,96
P0172,Oppo Find X9 Pro,75000,74783,4.5,7985,88
P0173,Google Pixel 10,85000,83503,4.4,7601,86
P0174,Samsung S25 Ultra,110000,107051,4.6,5586,96
P0175,Vivo X300 Pro,65000,65012,4.7,7995,94
P0176,Vivo X300 Pro,65000,62719,4.7,3560,93
P0177,Xiaomi 15,60000,58220,4.5,3057,85
P0178,Samsung S25 Ultra,110000,108078,4.8,2081,87
P0179,Oppo Find X9 Pro,75000,72295,4.4,4040,86
P0180,Oppo Find X9 Pro,75000,72579,4.3,2542,92
P0181,Oppo Find X9 Pro,75000,72476,4.6,5430,90
P0182,Nothing Phone 3,50000,48945,4.8,7252,89
P0183,Xiaomi 15,60000,57977,4.2,6775,96
P0184,Nothing Phone 3,50000,49844,4.4,2733,87
P0185,OnePlus 13,70000,69965,4.3,7407,92
P0186,Google Pixel 10,85000,83597,4.6,5008,90
P0187,Vivo X300 Pro,65000,64747,4.4,8709,97
P0188,Vivo X300 Pro,65000,64172,4.6,1546,96
P0189,OnePlus 13,70000,68123,4.6,3380,87
P0190,Motorola Edge 60 Ultra,58000,58184,4.3,7326,85
P0191,Oppo Find X9 Pro,75000,74736,4.1,1687,89
P0192,Google Pixel 10,85000,83093,4.4,6986,97
P0193,Google Pixel 10,85000,82626,4.2,3765,97
P0194,Vivo X300 Pro,65000,62630,4.4,4935,89
P0195,Nothing Phone 3,50000,48307,4.3,7799,92
P0196,Xiaomi 15,60000,59100,4.2,4919,89
P0197,Oppo Find X9 Pro,75000,73971,4.5,1953,88
P0198,Google Pixel 10,85000,85106,4.3,5740,92
P0199,iPhone 15 Pro,120000,120288,4.7,8976,97
P0200,Nothing Phone 3,50000,48537,4.8,3319,85
P0201,Samsung S25 Ultra,110000,58975,4.8,31,29
P0202,OnePlus 13,70000,68806,4.7,6815,88
P0203,Realme GT 8 Pro,55000,53588,4.1,7051,93
P0204,OnePlus 13,70000,68425,4.3,5353,89
P0205,Google Pixel 10,85000,84803,4.3,3525,87
P0206,Samsung S25 Ultra,110000,110792,4.3,4488,86
P0207,Motorola Edge 60 Ultra,58000,55910,4.6,1669,90
P0208,Motorola Edge 60 Ultra,58000,57992,4.1,6604,91
P0209,Nothing Phone 3,50000,48701,4.5,8246,97
P0210,Xiaomi 15,60000,58607,4.4,6625,89
P0211,OnePlus 13,70000,68353,4.7,6280,96
P0212,Xiaomi 15,60000,59588,4.4,6287,90
P0213,Google Pixel 10,85000,82131,4.6,2681,95
P0214,Vivo X300 Pro,65000,65130,4.4,7072,92
P0215,OnePlus 13,70000,67303,4.2,3370,87
P0216,Motorola Edge 60 Ultra,58000,56693,4.4,6269,93
P0217,Vivo X300 Pro,65000,63179,4.7,2023,96
P0218,Motorola Edge 60 Ultra,58000,58162,4.7,8948,95
P0219,Google Pixel 10,85000,85683,4.3,3169,95
P0220,Vivo X300 Pro,65000,62664,4.5,4047,95
P0221,Vivo X300 Pro,65000,65238,4.2,6219,91
P0222,Google Pixel 10,85000,84530,4.5,6283,94
P0223,iPhone 15 Pro,120000,118783,4.5,7867,92
P0224,Samsung S25 Ultra,110000,28707,4.8,3,32
P0225,Samsung S25 Ultra,110000,106381,4.2,6803,88
P0226,Xiaomi 15,60000,58608,4.4,1796,86
P0227,Realme GT 8 Pro,55000,54149,4.5,7171,87
P0228,Oppo Find X9 Pro,75000,74379,4.8,6595,88
P0229,Samsung S25 Ultra,110000,109379,4.1,7582,90
P0230,Samsung S25 Ultra,110000,109295,4.5,3392,98
P0231,Realme GT 8 Pro,55000,53713,4.3,2197,98
P0232,Xiaomi 15,60000,58855,4.2,3425,85
P0233,Xiaomi 15,60000,59086,4.8,2446,88
P0234,Realme GT 8 Pro,55000,52857,4.7,7253,96
P0235,Xiaomi 15,60000,32042,4.8,33,32
P0236,OnePlus 13,70000,68569,4.7,8546,94
P0237,OnePlus 13,70000,69188,4.1,7909,97
P0238,iPhone 15 Pro,120000,116025,4.7,4701,88
P0239,Realme GT 8 Pro,55000,54968,4.6,1585,99
P0240,Realme GT 8 Pro,55000,53634,4.8,7461,99
P0241,Google Pixel 10,85000,82942,4.5,6244,95
P0242,Xiaomi 15,60000,57857,4.8,8576,92
P0243,iPhone 15 Pro,120000,117448,4.7,2132,89
P0244,Vivo X300 Pro,65000,65129,4.4,2506,87
P0245,Oppo Find X9 Pro,75000,75207,4.8,6590,99
P0246,Realme GT 8 Pro,55000,55326,4.3,7566,93
P0247,Nothing Phone 3,50000,50356,4.8,2886,88
P0248,OnePlus 13,70000,69062,4.3,2266,92
P0249,OnePlus 13,70000,68161,4.6,4035,90
P0250,Realme GT 8 Pro,55000,54985,4.6,3802,95
P0251,Realme GT 8 Pro,55000,52879,4.6,2380,92
P0252,Google Pixel 10,85000,85111,4.2,6997,92
P0253,Samsung S25 Ultra,110000,107845,4.2,3530,86
P0254,Samsung S25 Ultra,110000,110384,4.8,4267,87
P0255,Nothing Phone 3,50000,49790,4.3,3523,99
P0256,Motorola Edge 60 Ultra,58000,57828,4.4,4984,97
P0257,iPhone 15 Pro,120000,117030,4.3,6989,93
P0258,OnePlus 13,70000,68059,4.3,7063,87
P0259,Realme GT 8 Pro,55000,54031,4.2,3011,89
P0260,Samsung S25 Ultra,110000,107528,4.4,7477,98
P0261,Oppo Find X9 Pro,75000,72031,4.3,6556,85
P0262,OnePlus 13,70000,67900,4.7,4057,89
P0263,iPhone 15 Pro,120000,117133,4.8,8739,92
P0264,OnePlus 13,70000,18805,4.7,9,33
P0265,Motorola Edge 60 Ultra,58000,29564,4.9,1,37
P0266,Google Pixel 10,85000,83058,4.8,6034,98
P0267,Realme GT 8 Pro,55000,54922,4.1,8702,86
P0268,OnePlus 13,70000,69162,4.6,7820,98
P0269,Realme GT 8 Pro,55000,53544,4.6,8649,92
P0270,Samsung S25 Ultra,110000,44392,4.6,40,32
P0271,Motorola Edge 60 Ultra,58000,57744,4.5,5889,87
P0272,Google Pixel 10,85000,83994,4.7,5592,85
P0273,Vivo X300 Pro,65000,63684,4.5,7926,99
P0274,Realme GT 8 Pro,55000,53958,4.7,8074,86
P0275,OnePlus 13,70000,69132,4.6,8709,86
P0276,OnePlus 13,70000,70157,4.1,3935,92
P0277,Vivo X300 Pro,65000,31909,4.7,13,32
P0278,Samsung S25 Ultra,110000,110539,4.4,2350,95
P0279,OnePlus 13,70000,68098,4.5,8293,95
P0280,Realme GT 8 Pro,55000,53624,4.2,4878,89
P0281,Google Pixel 10,85000,81641,4.3,3634,91
P0282,Samsung S25 Ultra,110000,53188,4.7,36,31
P0283,Motorola Edge 60 Ultra,58000,57595,4.8,5550,91
P0284,Google Pixel 10,85000,83083,4.8,5039,95
P0285,Samsung S25 Ultra,110000,106040,4.6,8335,85
P0286,Vivo X300 Pro,65000,64885,4.6,2326,88
P0287,Xiaomi 15,60000,60013,4.6,6178,87
P0288,Xiaomi 15,60000,59733,4.4,8503,93
P0289,iPhone 15 Pro,120000,117527,4.4,6854,86
P0290,Realme GT 8 Pro,55000,16543,5.0,4,37
P0291,OnePlus 13,70000,34148,4.8,29,36
P0292,iPhone 15 Pro,120000,117372,4.7,5977,91
P0293,Xiaomi 15,60000,59886,4.2,7993,88
P0294,Motorola Edge 60 Ultra,58000,57360,4.3,2884,99
P0295,Xiaomi 15,60000,59645,4.1,4269,89
P0296,Realme GT 8 Pro,55000,53608,4.4,8830,95
P0297,Nothing Phone 3,50000,49519,4.3,6005,90
P0298,Motorola Edge 60 Ultra,58000,55871,4.2,7013,95
P0299,Motorola Edge 60 Ultra,58000,57016,4.3,5696,96
P0300,Nothing Phone 3,50000,49023,4.4,7297,93
P0301,Realme GT 8 Pro,55000,53720,4.7,4150,95
P0302,Oppo Find X9 Pro,75000,73424,4.7,4976,96
P0303,Nothing Phone 3,50000,50001,4.7,6303,94
P0304,Samsung S25 Ultra,110000,110142,4.2,8612,89
P0305,Oppo Find X9 Pro,75000,28156,4.6,11,35
P0306,Nothing Phone 3,50000,49479,4.6,6666,97
P0307,OnePlus 13,70000,68991,4.2,6956,95
P0308,Vivo X300 Pro,65000,30665,5.0,11,36
P0309,OnePlus 13,70000,24504,4.8,11,21
P0310,iPhone 15 Pro,120000,119683,4.8,7876,86
P0311,OnePlus 13,70000,69400,4.6,8883,88
P0312,Oppo Find X9 Pro,75000,73412,4.2,1890,87
P0313,Vivo X300 Pro,65000,64524,4.2,3733,94
P0314,Samsung S25 Ultra,110000,109990,4.1,6014,96
P0315,Motorola Edge 60 Ultra,58000,19556,4.8,28,36
P0316,Vivo X300 Pro,65000,62614,4.3,6655,87
P0317,iPhone 15 Pro,120000,116751,4.2,7710,98
P0318,Samsung S25 Ultra,110000,110522,4.1,5337,97
P0319,Realme GT 8 Pro,55000,54782,4.3,2255,87
P0320,Vivo X300 Pro,65000,63360,4.2,4973,90
P0321,Realme GT 8 Pro,55000,54138,4.3,4399,86
P0322,iPhone 15 Pro,120000,118327,4.6,5320,93
P0323,Xiaomi 15,60000,58898,4.6,8181,94
P0324,Samsung S25 Ultra,110000,105850,4.2,4828,96
P0325,Vivo X300 Pro,65000,64542,4.3,7769,97
P0326,Nothing Phone 3,50000,50086,4.4,3348,94
P0327,Oppo Find X9 Pro,75000,73545,4.2,4079,88
P0328,OnePlus 13,70000,68067,4.6,4296,94
P0329,Vivo X300 Pro,65000,64356,4.6,5171,99
P0330,Nothing Phone 3,50000,19921,4.5,5,32
P0331,Realme GT 8 Pro,55000,53554,4.7,6702,99
P0332,Google Pixel 10,85000,82452,4.6,2746,99
P0333,Motorola Edge 60 Ultra,58000,25338,4.8,12,39
P0334,Motorola Edge 60 Ultra,58000,57700,4.3,3241,93
P0335,Samsung S25 Ultra,110000,107727,4.2,7876,91
P0336,Xiaomi 15,60000,60355,4.1,2504,88
P0337,Motorola Edge 60 Ultra,58000,55896,4.7,3389,87
P0338,Vivo X300 Pro,65000,65059,4.5,8939,97
P0339,Nothing Phone 3,50000,49187,4.1,7104,93
P0340,OnePlus 13,70000,69923,4.7,3726,96
P0341,Nothing Phone 3,50000,49388,4.4,5316,89
P0342,Realme GT 8 Pro,55000,27624,4.6,12,41
P0343,Xiaomi 15,60000,58991,4.3,2580,97
P0344,Google Pixel 10,85000,84384,4.3,8343,91
P0345,Oppo Find X9 Pro,75000,75344,4.7,5950,98
P0346,Realme GT 8 Pro,55000,53842,4.7,7655,99
P0347,Realme GT 8 Pro,55000,54332,4.6,2931,97
P0348,Oppo Find X9 Pro,75000,39824,4.5,8,26
P0349,OnePlus 13,70000,67856,4.2,7634,88
P0350,Realme GT 8 Pro,55000,52967,4.1,5733,97
P0351,Google Pixel 10,85000,82512,4.4,6348,88
P0352,Motorola Edge 60 Ultra,58000,56439,4.7,8825,86
P0353,Oppo Find X9 Pro,75000,75453,4.7,3474,96
P0354,Samsung S25 Ultra,110000,108724,4.7,4503,90
P0355,Motorola Edge 60 Ultra,58000,15079,4.8,32,28
P0356,Motorola Edge 60 Ultra,58000,58425,4.4,1785,99
P0357,Oppo Find X9 Pro,75000,75257,4.5,7124,91
P0358,iPhone 15 Pro,120000,117170,4.4,6017,90
P0359,Google Pixel 10,85000,44519,4.5,11,34
P0360,iPhone 15 Pro,120000,120531,4.4,5701,99
P0361,Google Pixel 10,85000,84821,4.5,6890,90
P0362,Motorola Edge 60 Ultra,58000,57624,4.5,4470,97
P0363,Nothing Phone 3,50000,49204,4.7,8810,90
P0364,Realme GT 8 Pro,55000,53925,4.7,6895,91
P0365,OnePlus 13,70000,67850,4.5,1741,96
P0366,Google Pixel 10,85000,84209,4.7,7873,94
P0367,Oppo Find X9 Pro,75000,75466,4.8,3945,90
P0368,Motorola Edge 60 Ultra,58000,58207,4.8,2798,97
P0369,Realme GT 8 Pro,55000,54267,4.1,3621,86
P0370,Realme GT 8 Pro,55000,54250,4.2,4850,96
P0371,iPhone 15 Pro,120000,120196,4.4,2207,93
P0372,Motorola Edge 60 Ultra,58000,56796,4.2,2601,94
P0373,OnePlus 13,70000,69145,4.2,4429,97
P0374,iPhone 15 Pro,120000,119074,4.5,5512,95
P0375,Samsung S25 Ultra,110000,110497,4.3,4157,99
P0376,OnePlus 13,70000,69818,4.8,6376,96
P0377,Vivo X300 Pro,65000,65424,4.3,6951,87
P0378,Samsung S25 Ultra,110000,107776,4.3,7200,89
P0379,OnePlus 13,70000,67746,4.4,2305,89
P0380,Google Pixel 10,85000,84890,4.2,2299,95
P0381,OnePlus 13,70000,68737,4.2,3059,98
P0382,Motorola Edge 60 Ultra,58000,57330,4.1,3157,91
P0383,Oppo Find X9 Pro,75000,74378,4.6,7549,92
P0384,OnePlus 13,70000,70366,4.6,4476,91
P0385,Oppo Find X9 Pro,75000,31637,4.7,14,24
P0386,Oppo Find X9 Pro,75000,73919,4.5,3950,99
P0387,iPhone 15 Pro,120000,120175,4.5,5497,97
P0388,Motorola Edge 60 Ultra,58000,57225,4.1,6352,89
P0389,iPhone 15 Pro,120000,37244,4.7,12,37
P0390,Samsung S25 Ultra,110000,109728,4.1,7884,99
P0391,OnePlus 13,70000,69791,4.2,4125,98
P0392,Samsung S25 Ultra,110000,108630,4.4,2921,86
P0393,Samsung S25 Ultra,110000,105884,4.6,7582,87
P0394,iPhone 15 Pro,120000,116159,4.2,2086,89
P0395,Oppo Find X9 Pro,75000,72381,4.2,6982,94
P0396,Nothing Phone 3,50000,49620,4.4,5070,99
P0397,OnePlus 13,70000,68411,4.2,3447,94
P0398,OnePlus 13,70000,67774,4.5,1842,91
P0399,Vivo X300 Pro,65000,64138,4.7,8706,87
P0400,Vivo X300 Pro,65000,64041,4.5,6299,88
P0401,Oppo Find X9 Pro,75000,75113,4.3,7743,90
P0402,Nothing Phone 3,50000,26643,4.7,37,28
P0403,Xiaomi 15,60000,59687,4.7,3514,86
P0404,Vivo X300 Pro,65000,62967,4.5,2876,92
P0405,Nothing Phone 3,50000,49976,4.3,5568,89
P0406,OnePlus 13,70000,69037,4.7,4261,92
P0407,Motorola Edge 60 Ultra,58000,56107,4.3,8377,98
P0408,Samsung S25 Ultra,110000,107454,4.5,3426,85
P0409,Motorola Edge 60 Ultra,58000,56622,4.3,4955,86
P0410,Oppo Find X9 Pro,75000,36430,4.8,40,30
P0411,Google Pixel 10,85000,83701,4.5,1907,96
P0412,Nothing Phone 3,50000,49324,4.6,4879,89
P0413,Xiaomi 15,60000,59635,4.1,8482,89
P0414,Motorola Edge 60 Ultra,58000,56263,4.3,2403,91
P0415,Oppo Find X9 Pro,75000,75518,4.5,7520,97
P0416,Nothing Phone 3,50000,49006,4.5,3367,95
P0417,Oppo Find X9 Pro,75000,75045,4.1,6790,85
P0418,OnePlus 13,70000,68944,4.4,1738,87
P0419,Oppo Find X9 Pro,75000,28540,4.6,35,44
P0420,Nothing Phone 3,50000,49007,4.4,8079,95
P0421,Google Pixel 10,85000,83614,4.3,7981,99
P0422,Samsung S25 Ultra,110000,108229,4.5,2054,85
P0423,Oppo Find X9 Pro,75000,74486,4.1,2017,94
P0424,Samsung S25 Ultra,110000,111017,4.6,7532,87
P0425,Vivo X300 Pro,65000,63160,4.8,4465,85
P0426,Nothing Phone 3,50000,49164,4.7,8125,98
P0427,Google Pixel 10,85000,81697,4.7,7995,88
P0428,Xiaomi 15,60000,59171,4.3,6363,87
P0429,OnePlus 13,70000,70356,4.5,6538,97
P0430,Vivo X300 Pro,65000,64668,4.7,1773,96
P0431,Motorola Edge 60 Ultra,58000,55858,4.4,6927,92
P0432,iPhone 15 Pro,120000,118393,4.6,6041,88
P0433,Samsung S25 Ultra,110000,109240,4.3,8204,87
P0434,Motorola Edge 60 Ultra,58000,57013,4.5,6921,87
P0435,Motorola Edge 60 Ultra,58000,55768,4.7,5297,86
P0436,OnePlus 13,70000,67588,4.1,6681,97
P0437,Xiaomi 15,60000,59366,4.2,6085,85
P0438,Google Pixel 10,85000,85619,4.6,2794,85
P0439,Realme GT 8 Pro,55000,53332,4.2,2566,94
P0440,Nothing Phone 3,50000,48311,4.7,5688,95
P0441,Xiaomi 15,60000,22078,5.0,7,39
P0442,Xiaomi 15,60000,58210,4.3,2879,98
P0443,OnePlus 13,70000,68925,4.4,5953,95
P0444,Samsung S25 Ultra,110000,51770,4.9,24,23
P0445,iPhone 15 Pro,120000,120971,4.5,7938,93
P0446,iPhone 15 Pro,120000,118556,4.6,8765,88
P0447,OnePlus 13,70000,67687,4.5,7989,99
P0448,Vivo X300 Pro,65000,63605,4.3,2484,94
P0449,Nothing Phone 3,50000,48874,4.7,4119,97
P0450,Google Pixel 10,85000,82590,4.7,6990,98
P0451,Xiaomi 15,60000,58445,4.4,1685,86
P0452,Oppo Find X9 Pro,75000,72587,4.5,5439,97
P0453,Samsung S25 Ultra,110000,105769,4.4,3298,86
P0454,Vivo X300 Pro,65000,24947,4.5,32,25
P0455,Google Pixel 10,85000,85477,4.2,7361,93
P0456,Motorola Edge 60 Ultra,58000,56539,4.2,4124,95
P0457,OnePlus 13,70000,70384,4.3,6184,96
P0458,Google Pixel 10,85000,24384,4.6,9,22
P0459,Samsung S25 Ultra,110000,38377,4.8,26,26
P0460,Motorola Edge 60 Ultra,58000,57884,4.4,7321,85
P0461,iPhone 15 Pro,120000,54317,5.0,31,24
P0462,Google Pixel 10,85000,83102,4.4,5966,90
P0463,OnePlus 13,70000,67831,4.8,4812,99
P0464,Nothing Phone 3,50000,49535,4.6,8644,85
P0465,Samsung S25 Ultra,110000,109727,4.5,5963,98
